City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Fuyu,CN,2021-12-02 00:48:43,45.1833,124.8167,24.03,79,100,19.93
198,Lerwick,GB,2021-12-02 00:48:43,60.1545,-1.1494,37.4,60,56,30.27
199,Ahipara,NZ,2021-12-02 00:48:43,-35.1667,173.1667,70.88,65,100,3.0
200,Batticaloa,LK,2021-12-02 00:48:44,7.7102,81.6924,76.42,85,82,5.28
201,Sola,VU,2021-12-02 00:48:44,-13.8833,167.55,86.67,70,20,2.3
202,Bonavista,CA,2021-12-02 00:48:44,48.6499,-53.1147,35.11,70,3,13.96
203,San Patricio,US,2021-12-02 00:48:45,28.017,-97.5169,72.54,77,18,6.51
204,Yellowknife,CA,2021-12-02 00:48:45,62.456,-114.3525,-1.68,84,90,10.36
205,Karwar,IN,2021-12-02 00:48:45,14.8,74.1333,75.0,88,90,6.58
206,Fasa,IR,2021-12-02 00:48:47,28.9383,53.6482,40.24,60,0,4.61
207,Kabompo,ZM,2021-12-02 00:48:47,-13.5927,24.2008,64.35,79,31,3.22
208,Pevek,RU,2021-12-02 00:48:48,69.7008,170.3133,-7.65,94,100,6.22
209,Vardo,NO,2021-12-02 00:48:48,70.3705,31.1107,30.4,60,100,31.59
210,Djambala,CG,2021-12-02 00:48:49,-2.5447,14.7533,66.52,96,64,3.49
211,Palauig,PH,2021-12-02 00:48:50,15.435,119.9045,82.06,58,43,2.66
212,Villamontes,BO,2021-12-02 00:48:50,-21.25,-63.5,78.62,60,90,2.26
213,Chazuta,PE,2021-12-02 00:48:50,-6.5742,-76.1367,86.85,78,98,1.9
214,Tazovskiy,RU,2021-12-02 00:48:51,67.4667,78.7,-9.85,97,100,12.62
215,Avarua,CK,2021-12-02 00:48:51,-21.2078,-159.775,75.25,94,75,18.41
216,Haines Junction,CA,2021-12-02 00:48:51,60.7522,-137.5108,4.95,85,100,1.14
217,Silver City,US,2021-12-02 00:48:52,32.7701,-108.2803,55.36,31,1,5.75
218,Dingle,PH,2021-12-02 00:48:52,10.9995,122.6711,78.13,92,100,11.27
219,Ajdabiya,LY,2021-12-02 00:48:53,30.7554,20.2263,58.62,71,68,6.71
